metric,param,value,mean
Accuracy,D,-,"0,68"
Precision,D,-,"0,695"
Recall,D,-,"0,67"
F1,D,-,"0,715"
Accuracy,C,"0,01","0,675"
Precision,C,"0,01","0,692"
Recall,C,"0,01","0,662"
F1,C,"0,01","0,707"
Accuracy,C,"0,10","0,671"
Precision,C,"0,10","0,687"
Recall,C,"0,10","0,663"
F1,C,"0,10","0,708"
Accuracy,C,"0,25","0,671"
Precision,C,"0,25","0,689"
Recall,C,"0,25","0,656"
F1,C,"0,25","0,708"
Accuracy,C,"0,50","0,673"
Precision,C,"0,50","0,689"
Recall,C,"0,50","0,661"
F1,C,"0,50","0,706"
Accuracy,M,1,"0,671"
Precision,M,1,"0,691"
Recall,M,1,"0,661"
F1,M,1,"0,705"
Accuracy,M,2,"0,675"
Precision,M,2,"0,691"
Recall,M,2,"0,664"
F1,M,2,"0,711"
Accuracy,M,4,"0,672"
Precision,M,4,"0,687"
Recall,M,4,"0,657"
F1,M,4,"0,704"
Accuracy,M,10,"0,676"
Precision,M,10,"0,69"
Recall,M,10,"0,663"
F1,M,10,"0,708"
Accuracy,N,2,"0,67"
Precision,N,2,"0,689"
Recall,N,2,"0,659"
F1,N,2,"0,701"
Accuracy,N,3,"0,675"
Precision,N,3,"0,694"
Recall,N,3,"0,665"
F1,N,3,"0,712"
Accuracy,N,6,"0,673"
Precision,N,6,"0,689"
Recall,N,6,"0,661"
F1,N,6,"0,71"
Accuracy,N,9,"0,674"
Precision,N,9,"0,69"
Recall,N,9,"0,658"
F1,N,9,"0,708"
