,metric,X,param,mean
0,Accuracy,0.0,D,0.6795
1,Precision,0.0,D,0.694625
2,Recall,0.0,D,0.67025
3,F1,0.0,D,0.7153750000000001
4,Accuracy,0.01,C,0.6744999999999999
5,Precision,0.01,C,0.691875
6,Recall,0.01,C,0.6623749999999999
7,F1,0.01,C,0.7072499999999999
8,Accuracy,0.1,C,0.671
9,Precision,0.1,C,0.6866249999999999
10,Recall,0.1,C,0.663
11,F1,0.1,C,0.708
12,Accuracy,0.25,C,0.671375
13,Precision,0.25,C,0.6885000000000001
14,Recall,0.25,C,0.655875
15,F1,0.25,C,0.707625
16,Accuracy,0.5,C,0.673125
17,Precision,0.5,C,0.68875
18,Recall,0.5,C,0.661375
19,F1,0.5,C,0.7055
20,Accuracy,1.0,M,0.670625
21,Precision,1.0,M,0.690625
22,Recall,1.0,M,0.6609999999999999
23,F1,1.0,M,0.70475
24,Accuracy,2.0,M,0.674625
25,Precision,2.0,M,0.6912499999999999
26,Recall,2.0,M,0.66375
27,F1,2.0,M,0.71075
28,Accuracy,4.0,M,0.672375
29,Precision,4.0,M,0.6872499999999999
30,Recall,4.0,M,0.657375
31,F1,4.0,M,0.704
32,Accuracy,10.0,M,0.67575
33,Precision,10.0,M,0.6895
34,Recall,10.0,M,0.662625
35,F1,10.0,M,0.708375
36,Accuracy,2.0,N,0.6697500000000001
37,Precision,2.0,N,0.68925
38,Recall,2.0,N,0.659375
39,F1,2.0,N,0.701125
40,Accuracy,3.0,N,0.675125
41,Precision,3.0,N,0.694
42,Recall,3.0,N,0.665375
43,F1,3.0,N,0.712375
44,Accuracy,6.0,N,0.6728750000000001
45,Precision,6.0,N,0.68925
46,Recall,6.0,N,0.661375
47,F1,6.0,N,0.70975
48,Accuracy,9.0,N,0.6737500000000001
49,Precision,9.0,N,0.68975
50,Recall,9.0,N,0.6579999999999999
51,F1,9.0,N,0.708
