metric,param,X,mean
Accuracy,D,-,"0,921"
Precision,D,-,"0,929"
Recall,D,-,"0,921"
F1,D,-,"0,922"
Accuracy,C,"0,01","0,924"
Precision,C,"0,01","0,931"
Recall,C,"0,01","0,924"
F1,C,"0,01","0,924"
Accuracy,C,"0,10","0,921"
Precision,C,"0,10","0,928"
Recall,C,"0,10","0,921"
F1,C,"0,10","0,921"
Accuracy,C,"0,25","0,918"
Precision,C,"0,25","0,926"
Recall,C,"0,25","0,917"
F1,C,"0,25","0,918"
Accuracy,C,"0,50","0,918"
Precision,C,"0,50","0,926"
Recall,C,"0,50","0,918"
F1,C,"0,50","0,918"
Accuracy,M,1,"0,919"
Precision,M,1,"0,927"
Recall,M,1,"0,918"
F1,M,1,"0,918"
Accuracy,M,2,"0,923"
Precision,M,2,"0,930"
Recall,M,2,"0,923"
F1,M,2,"0,923"
Accuracy,M,4,"0,923"
Precision,M,4,"0,930"
Recall,M,4,"0,923"
F1,M,4,"0,923"
Accuracy,M,10,"0,918"
Precision,M,10,"0,926"
Recall,M,10,"0,919"
F1,M,10,"0,918"
Accuracy,N,2,"0,922"
Precision,N,2,"0,929"
Recall,N,2,"0,921"
F1,N,2,"0,921"
Accuracy,N,3,"0,921"
Precision,N,3,"0,929"
Recall,N,3,"0,921"
F1,N,3,"0,921"
Accuracy,N,6,"0,919"
Precision,N,6,"0,928"
Recall,N,6,"0,918"
F1,N,6,"0,919"
Accuracy,N,9,"0,923"
Precision,N,9,"0,931"
Recall,N,9,"0,923"
F1,N,9,"0,924"
