dataset,metric,kfold,strat,unstrat
glass,accuracy,2,"0,8935","0,8978"
glass,accuracy,3,"0,9143","0,9169"
glass,accuracy,4,"0,9218","0,9183"
glass,accuracy,5,"0,9250","0,9238"
glass,accuracy,6,"0,9255","0,9249"
glass,accuracy,7,"0,9277","0,9278"
glass,accuracy,8,"0,9300","0,9297"
glass,accuracy,9,"0,9286","0,9290"
glass,precision,2,"0,9002","0,9035"
glass,precision,3,"0,9201","0,9210"
glass,precision,4,"0,9284","0,9218"
glass,precision,5,"0,9320","0,9274"
glass,precision,6,"0,9331","0,9284"
glass,precision,7,"0,9364","0,9303"
glass,precision,8,"0,9391","0,9342"
glass,precision,9,"0,9383","0,9314"
glass,recall,2,"0,8945","0,8987"
glass,recall,3,"0,9143","0,9187"
glass,recall,4,"0,9219","0,9185"
glass,recall,5,"0,9249","0,9243"
glass,recall,6,"0,9251","0,9242"
glass,recall,7,"0,9268","0,9278"
glass,recall,8,"0,9288","0,9293"
glass,recall,9,"0,9275","0,9275"
glass,f1,2,"0,8938","0,8967"
glass,f1,3,"0,9145","0,9165"
glass,f1,4,"0,9219","0,9163"
glass,f1,5,"0,9252","0,9220"
glass,f1,6,"0,9251","0,9217"
glass,f1,7,"0,9272","0,9238"
glass,f1,8,"0,9293","0,9263"
glass,f1,9,"0,9277","0,9244"
